price,latitude,longitude,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,calculated_host_listings_count,accommodates,bathrooms,bedrooms,beds,has_availability,availability_30,availability_60,availability_90,availability_365,instant_bookable,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,room_Entire home/apt,room_Hotel room,room_Private room,room_Shared room,Air conditioning,Kitchen,Dedicated workspace,Heating,Hot water,Refrigerator,Free street parking,Self check-in,Shampoo,Washer
4,40.68456,-73.93987,16578,2.0,100.0,100.0,1,2.0,2.0,1,1,1,4,2.0,2.0,2.0,1,12,42,70,70,False,30,1125,34,5,1,18014,19945,5.0,5.0,4.97,5.0,5.0,4.71,4.94,0.52,1,0,0,0,0,1,0,1,1,1,1,1,1,0
3,40.6389914845637,-73.96573940369157,19614,1.0,100.0,98.0,1,1.0,1.0,1,1,1,2,1.0,1.0,2.0,1,10,20,49,324,False,1,29,30,30,6,19735,19968,4.83,4.87,4.93,4.8,4.9,4.9,4.63,3.81,0,0,1,0,1,1,0,0,1,0,1,1,1,0
3,40.61881,-74.03238,19204,1.0,100.0,100.0,0,52.0,55.0,1,1,52,2,1.0,0.0,1.0,1,17,44,70,146,True,1,29,5,5,2,19901,19952,4.6,4.8,4.2,4.8,4.8,4.8,4.2,2.14,1,0,0,0,1,0,1,1,1,0,0,1,1,0
0,40.67397,-73.95399,15563,1.0,99.0,23.0,0,727.0,1336.0,1,1,719,1,1.5,4.0,1.0,1,0,0,0,111,False,30,365,0,0,0,20049,20049,4.719393156300125,4.742812332917484,4.679641775084655,4.826309926929246,4.808232935305649,4.721843864183228,4.609504544644448,1.2458011049723758,0,0,1,0,0,1,1,1,1,1,0,0,0,1
2,40.74718,-73.98539,16427,1.0,93.0,95.0,0,707.0,2453.0,1,1,73,2,1.0,1.0,1.0,1,4,13,22,241,True,1,1125,0,0,0,20049,20049,4.719393156300125,4.742812332917484,4.679641775084655,4.826309926929246,4.808232935305649,4.721843864183228,4.609504544644448,1.2458011049723758,0,1,0,0,1,0,1,1,1,0,0,1,1,0
2,40.66202,-73.95535,16498,3.0,100.0,50.0,1,1.0,2.0,1,1,1,6,1.0,2.0,3.0,1,21,21,31,306,False,30,1125,102,2,1,17427,19952,4.8,4.79,4.8,4.95,4.97,4.83,4.69,1.2,1,0,0,0,1,1,0,1,1,1,1,1,1,1
1,40.7046405,-73.9338696,16770,3.0,100.0,88.0,0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1,4,33,46,46,False,2,100,11,11,2,19886,19951,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.88,0,0,1,0,1,1,1,1,1,1,1,0,1,1
5,40.777553,-73.9834589,17151,1.0,100.0,96.0,0,4494.0,4784.0,1,1,876,2,1.0,1.0,1.0,1,0,0,0,56,True,31,1125,0,0,0,20049,20049,4.719393156300125,4.742812332917484,4.679641775084655,4.826309926929246,4.808232935305649,4.721843864183228,4.609504544644448,1.2458011049723758,1,0,0,0,1,1,1,1,1,1,0,1,1,0
1,40.652237870891256,-73.95074262933898,18887,1.0,100.0,100.0,1,3.0,3.0,1,1,3,2,1.0,1.0,2.0,1,5,9,24,279,False,3,29,81,37,4,19170,19955,4.78,4.84,4.84,4.89,4.85,4.58,4.79,3.03,0,0,1,0,0,0,1,0,1,0,1,0,1,0
1,40.79594,-73.93443,15926,1.7059957014748388,91.383013414363,100.0,0,1.0,1.0,1,1,1,2,1.5,1.0,1.0,1,28,58,88,363,False,30,31,11,1,0,17070,19640,5.0,4.91,5.0,4.91,5.0,4.73,4.82,0.11,0,0,1,0,0,1,0,1,1,1,0,0,1,0
2,40.76103114709306,-73.99164322110978,18198,3.0,100.0,79.0,0,382.0,1480.0,1,1,354,1,0.0,4.0,1.0,1,0,0,0,217,False,30,180,0,0,0,20049,20049,4.719393156300125,4.742812332917484,4.679641775084655,4.826309926929246,4.808232935305649,4.721843864183228,4.609504544644448,1.2458011049723758,0,0,1,0,0,0,1,1,1,0,0,1,0,1
3,40.75547,-73.92606,16866,1.0,100.0,100.0,1,2.0,2.0,1,0,1,2,1.0,1.0,2.0,1,0,6,32,288,True,2,20,96,11,2,18952,19968,4.94,4.93,4.92,4.95,4.99,4.91,4.81,2.83,0,0,1,0,1,1,1,0,1,1,1,1,1,0
3,40.6980503969753,-73.94356628688588,17563,1.0,99.0,99.0,0,4.0,10.0,1,1,4,2,1.5,1.0,1.0,1,11,38,68,248,True,1,365,18,18,2,19856,19942,4.17,4.28,4.28,4.78,4.56,4.28,4.11,4.7,0,0,1,0,1,1,1,1,1,1,1,0,1,1
2,40.6923,-73.93579,18066,1.0,100.0,100.0,1,4.0,4.0,1,1,3,4,1.0,2.0,2.0,1,0,29,59,334,True,30,1125,12,4,0,18923,19935,5.0,4.92,4.92,5.0,5.0,4.58,4.83,0.34,1,0,0,0,1,1,0,1,1,1,1,0,1,0
3,40.7629644,-73.9920309,17511,1.0,100.0,82.0,0,242.0,373.0,1,1,213,3,1.0,1.0,1.0,1,2,32,62,337,False,30,365,1,1,0,19652,19652,5.0,5.0,4.0,5.0,5.0,4.0,4.0,0.09,1,0,0,0,0,1,1,0,1,1,1,0,0,0
3,40.7707911,-73.95750079999999,17511,1.0,100.0,82.0,0,242.0,373.0,1,1,213,4,1.0,0.0,2.0,1,3,33,63,297,False,30,365,12,3,1,18726,19946,5.0,4.92,5.0,5.0,5.0,5.0,4.58,0.29,1,0,0,0,1,1,1,1,1,1,1,1,0,0
5,40.65758,-73.95432,18000,1.7059957014748388,91.383013414363,100.0,1,1.0,1.0,1,1,1,6,2.0,3.0,4.0,1,29,59,89,179,False,30,1125,53,11,0,18945,19856,4.96,4.87,5.0,4.92,4.94,4.87,4.79,1.55,1,0,0,0,0,1,1,1,1,1,1,1,1,0
